,,,mmd_degree_test,mmd_degree_test,mmd_degree_test,mmd_degree_test,mmd_degree_test,mmd_degree_test,mmd_degree_test,mmd_degree_test,mmd_clustering_test,mmd_clustering_test,mmd_clustering_test,mmd_clustering_test,mmd_clustering_test,mmd_clustering_test,mmd_clustering_test,mmd_clustering_test,mmd_4orbits_test,mmd_4orbits_test,mmd_4orbits_test,mmd_4orbits_test,mmd_4orbits_test,mmd_4orbits_test,mmd_4orbits_test,mmd_4orbits_test,mmd_spectral_test,mmd_spectral_test,mmd_spectral_test,mmd_spectral_test,mmd_spectral_test,mmd_spectral_test,mmd_spectral_test,mmd_spectral_test
,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
dataset_name,model_name,num_epochs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community4,RNN,1000,10.0,0.02231208889642078,0.0,0.02231208889642078,0.02231208889642078,0.02231208889642078,0.02231208889642078,0.02231208889642078,10.0,0.05745272231300523,7.314236392868128e-18,0.05745272231300524,0.05745272231300524,0.05745272231300524,0.05745272231300524,0.05745272231300524,10.0,0.5731978082099587,0.0,0.5731978082099587,0.5731978082099587,0.5731978082099587,0.5731978082099587,0.5731978082099587,10.0,0.02776203876556882,0.0,0.02776203876556882,0.02776203876556882,0.02776203876556882,0.02776203876556882,0.02776203876556882
community4,RNN_MLP,1000,10.0,0.05104444900698102,0.0,0.05104444900698102,0.05104444900698102,0.05104444900698102,0.05104444900698102,0.05104444900698102,10.0,0.057449330405453636,0.0,0.057449330405453636,0.057449330405453636,0.057449330405453636,0.057449330405453636,0.057449330405453636,10.0,0.5711515760326532,0.0,0.5711515760326532,0.5711515760326532,0.5711515760326532,0.5711515760326532,0.5711515760326532,10.0,0.0397977574630215,0.0,0.0397977574630215,0.0397977574630215,0.0397977574630215,0.0397977574630215,0.0397977574630215
community8,GRANMixtureBernoulli,5,10.0,0.017634851136422824,0.0,0.017634851136422824,0.017634851136422824,0.017634851136422824,0.017634851136422824,0.017634851136422824,10.0,0.014175200215345041,1.828559098217032e-18,0.01417520021534504,0.01417520021534504,0.01417520021534504,0.01417520021534504,0.01417520021534504,10.0,0.5182671294164491,1.1702778228589004e-16,0.5182671294164493,0.5182671294164493,0.5182671294164493,0.5182671294164493,0.5182671294164493,10.0,0.0045929013934080665,0.0,0.0045929013934080665,0.0045929013934080665,0.0045929013934080665,0.0045929013934080665,0.0045929013934080665
community8,RNN,1000,10.0,0.06213073518030132,0.0,0.06213073518030132,0.06213073518030132,0.06213073518030132,0.06213073518030132,0.06213073518030132,10.0,0.04831354983411893,7.314236392868128e-18,0.048313549834118924,0.048313549834118924,0.048313549834118924,0.048313549834118924,0.048313549834118924,10.0,0.6653751433173933,1.1702778228589004e-16,0.6653751433173932,0.6653751433173932,0.6653751433173932,0.6653751433173932,0.6653751433173932,10.0,0.0582722369037556,0.0,0.0582722369037556,0.0582722369037556,0.0582722369037556,0.0582722369037556,0.0582722369037556
community8,RNN_MLP,1000,10.0,0.10243719151382202,0.0,0.10243719151382202,0.10243719151382202,0.10243719151382202,0.10243719151382202,0.10243719151382202,10.0,0.05106674123994147,0.0,0.05106674123994147,0.05106674123994147,0.05106674123994147,0.05106674123994147,0.05106674123994147,10.0,0.7022791428771902,1.1702778228589004e-16,0.7022791428771903,0.7022791428771903,0.7022791428771903,0.7022791428771903,0.7022791428771903,10.0,0.06684758882185848,0.0,0.06684758882185848,0.06684758882185848,0.06684758882185848,0.06684758882185848,0.06684758882185848
watts,GRANMixtureBernoulli,5,10.0,0.12185817148780327,0.000737993858448404,0.12085067742741362,0.12133110139361825,0.12175314425406791,0.12232902181067273,0.1232360635699814,10.0,0.029864591743438296,0.0005017801475740365,0.028778998825899516,0.029642024249877275,0.029840023405424132,0.03017308266275298,0.03053489594495784,10.0,0.0017504632964566503,9.80462382844433e-06,0.0017267684583901488,0.0017482176325473442,0.0017510581675883596,0.0017544517403889626,0.0017629935715681722,10.0,0.17948706150557722,0.0008477905003397082,0.1784318973639818,0.17883936921881655,0.1793387718231224,0.18007148974933695,0.18108522925743187
watts,RNN,1000,10.0,0.00019346121012591143,3.261665466469264e-05,0.00013630452388091463,0.00017952149737560097,0.00018870598699893826,0.00020679307318705042,0.00024525131826025337,10.0,1.3893095919725873e-05,6.2512012890753684e-06,6.106357942403662e-06,8.39008570213684e-06,1.3447736865845883e-05,1.9006538500176973e-05,2.4198737739178355e-05,10.0,4.518809129838708e-06,6.582846086008452e-07,3.647680023366462e-06,3.840660827814091e-06,4.665566321393477e-06,5.006511047067619e-06,5.446753974069907e-06,10.0,0.01174720306878636,0.0003225917863065274,0.011001329633916646,0.011641405790047965,0.0118419165053687,0.011885745634644729,0.012091763685485146
watts,RNN_MLP,1000,10.0,7.384334784070745e-05,2.2088012890290444e-05,4.291710536818982e-05,5.8930230477427514e-05,6.658767717959702e-05,9.245522063539013e-05,0.00010851485732032984,10.0,2.0464850521850762e-05,9.72865499550378e-06,6.503162880644453e-06,1.1386187124207137e-05,2.1195949623353805e-05,2.9391666756417578e-05,3.335988437069837e-05,10.0,4.881041683058029e-07,2.1731298879062703e-07,2.552243043574265e-07,2.947225667404574e-07,4.6870622305572596e-07,6.659290971988696e-07,8.449321500236806e-07,10.0,0.009267156782594311,0.0002441038109972551,0.008950545089505102,0.009044687735954127,0.009273730291132876,0.009510546673160203,0.00955539901619673
watts_ring,GRANMixtureBernoulli,50,10.0,0.001968547149222344,0.0,0.001968547149222344,0.001968547149222344,0.001968547149222344,0.001968547149222344,0.001968547149222344,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.5986993711969433e-05,0.0,1.5986993711969433e-05,1.5986993711969433e-05,1.5986993711969433e-05,1.5986993711969433e-05,1.5986993711969433e-05,10.0,0.03999533459243465,0.0,0.03999533459243465,0.03999533459243465,0.03999533459243465,0.03999533459243465,0.03999533459243465
watts_ring,RNN,1000,10.0,0.014657738018825972,0.0,0.014657738018825972,0.014657738018825972,0.014657738018825972,0.014657738018825972,0.014657738018825972,10.0,2.2516177148101946e-05,0.0,2.2516177148101946e-05,2.2516177148101946e-05,2.2516177148101946e-05,2.2516177148101946e-05,2.2516177148101946e-05,10.0,2.493097869882277e-05,0.0,2.493097869882277e-05,2.493097869882277e-05,2.493097869882277e-05,2.493097869882277e-05,2.493097869882277e-05,10.0,0.07542998634015086,0.0,0.07542998634015086,0.07542998634015086,0.07542998634015086,0.07542998634015086,0.07542998634015086
watts_ring,RNN_MLP,1000,10.0,0.005351795795634606,0.0,0.005351795795634606,0.005351795795634606,0.005351795795634606,0.005351795795634606,0.005351795795634606,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.595853054114365e-05,0.0,6.595853054114365e-05,6.595853054114365e-05,6.595853054114365e-05,6.595853054114365e-05,6.595853054114365e-05,10.0,0.05166919904087841,0.0,0.05166919904087841,0.05166919904087841,0.05166919904087841,0.05166919904087841,0.05166919904087841
